PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|FP - T&M|Full Supplier Address
5005118091|1000445078|CORTEX GENIE HUMAIN INC|CANADA|Unknown|5005118091|Yes|N/A|SUBCON SKILL T&M|NA as not GDPR Relevent|Open|10/23/2017|12/31/2017|GTS IS|JAMIE WALD|AIR CANADA|CA|FP|460 STE CATHERINE WEST OFFICE 307MONTREALH3B 1A7
5005125827|1000445078|CORTEX GENIE HUMAIN INC|CANADA|Unknown|5005125827|Yes|N/A|SUBCON SKILL T&M|NA as not GDPR Relevent|Open|11/21/2017|1/31/2018|GTS IS|JORGE ROJAS|AIR CANADA|CA|FP|460 STE CATHERINE WEST OFFICE 307MONTREALH3B 1A7
5004207536|1000375423|Cover All Computer Services|CANADA|Unknown|5004207536|Yes (?)|N/A|COMPUTER SERVICES|NA as not GDPR Relevent|Open|11/16/2012|5/31/2020|GTS IS|Andrew McGeown|Algoma|CA|FP|1170 BIRCHMOUNT RDSCARBOROUGHM1P 5E3
5004417186|1000375423|Cover All Computer Services|CANADA|Unknown|5004417186|Yes (?)|N/A|COMPUTER SERVICES|NA as not GDPR Relevent|Open|12/10/2013|10/25/2017|GTS IS|Frank Panza|Algoma|CA|FP|1170 BIRCHMOUNT RDSCARBOROUGHM1P 5E3
5005018905|1000350569|COLOGIX CANADA INC|CANADA|Unknown|5005018905|Yes (?)|N/A|CO-LOCATION SVC|NA as not GDPR Relevent|Open|3/16/2017|3/16/2018|GTS IS|PETER HOGARTH|CELERO SOLUTIONS|CA|FP|1959 UPPER WATER ST SUITE 209HALIFAXB3J 3N2
5005087718|1000041939|MANPOWER SERVICES CANADA LTD|CANADA|Unknown|5005087718|Yes (?)|N/A|N/A-USE S31|NA as not GDPR Relevent|Open|7/26/2017|7/26/2017|GTS IS|MIKE LUSSIER|CELERO SOLUTIONS|CA|FP|4950 YONGE STREET SUITE 700NORTH YORKM2N 6K1
5004979871|1000040888|COMPUCOM CANADA CO|CANADA|Unknown|5004979871|Yes (?)|N/A|Life Cycle Management|NA as not GDPR Relevent|Open|1/1/2017|12/31/2017|GTS IS|KIM KING|FLUOR|CA|FP|TORONTOM5W 4E1
5005057457|1000279794|Superior Design International|CANADA|Unknown|5005057457|Yes (?)|N/A|TECHNICAL SUBCONTRACTING|NA as not GDPR Relevent|Open|4/3/2017|4/2/2018|GTS IS|Jon Holtby|South Coast BC|CA|FP|38 AURIGA DRIVE SUITE 207OTTAWAK2E 8A5
5005121403|1000279794|Superior Design International|CANADA|Unknown|5005121403|Yes (?)|N/A|TECHNICAL SUBCONTRACTING|NA as not GDPR Relevent|Open|2/1/2017|4/30/2017|GTS IS|Jon Holtby|South Coast BC|CA|FP|38 AURIGA DRIVE SUITE 207OTTAWAK2E 8A5
5005127058|1000352710|CERYX INC|CANADA|Unknown|5005127058|Yes|N/A|ENTERPRISE SW-ELEC|Distributed Middleware Databases Servers and Storage Management|Open|12/1/2017|12/31/2018|GTS IS|DAVID FIELDING|Sunlife|CA|FP|5000 YONGE STREET SUITE 1503TORONTOM2N 7E9
